algorithm,policy,featexp,value,time,s,n
algorithm5,0.345679,0.107309,0.964171,0.415319,40,9
algorithm5,0.234568,0.065293,0.974673,0.522234,50,9
gpirl,0.259259,0.12367,0.98744,2.46764,10,9
gpirl,0.185185,0.106833,0.988847,3.748362,20,9
gpirl,0.185185,0.088489,0.993078,4.34335,30,9
gpirl,0.148148,0.095822,0.993692,3.806535,40,9
gpirl,0.111111,0.104551,0.996172,4.830206,50,9
an,0.469136,0.243531,0.948285,1.019615,10,9
an,0.45679,0.335366,0.705589,1.063653,20,9
an,0.382716,0.341803,0.753813,1.386138,30,9
an,0.358025,0.364237,0.605935,1.462281,40,9
an,0.432099,0.342536,0.749637,1.207456,50,9
algorithm5,0.283951,0.126409,0.977519,0.305203,10,9
algorithm5,0.271605,0.083562,0.971953,0.277059,20,9
algorithm5,0.308642,0.116367,0.96407,0.308055,30,9
algorithm5,0.345679,0.107309,0.964171,0.385461,40,9
algorithm5,0.234568,0.065293,0.974673,0.527913,50,9
gpirl,0.259259,0.12367,0.98744,2.506887,10,9
gpirl,0.185185,0.106833,0.988847,3.732111,20,9
gpirl,0.185185,0.088489,0.993078,4.368119,30,9
gpirl,0.148148,0.095822,0.993692,3.832784,40,9
gpirl,0.111111,0.104551,0.996172,4.753652,50,9
an,0.622222,0.503406,0.128122,0.051071,10,15
an,0.551111,0.355362,0.654104,0.031407,30,15
an,0.537778,0.355667,0.666803,0.030001,50,15
an,0.577778,0.352979,0.639677,0.028856,70,15
algorithm5,0.448889,0.163249,0.920475,0.052135,10,15
algorithm5,0.395556,0.10412,0.946496,0.022523,30,15
algorithm5,0.413333,0.109854,0.94812,0.0225,50,15
algorithm5,0.377778,0.108609,0.946201,0.02274,70,15
gpirl,0.373333,0.119525,0.944699,6.919138,10,15
gpirl,0.262222,0.072146,0.974647,10.882919,30,15
gpirl,0.24,0.071537,0.981328,13.546413,50,15
gpirl,0.213333,0.03588,0.988994,18.579026,70,15
an,0.595556,0.288592,0.729954,0.034418,10,15
an,0.613333,0.288726,0.729396,0.028548,30,15
an,0.617778,0.510596,0.149257,0.029043,50,15
an,0.617778,0.411675,0.164232,0.029173,70,15
algorithm5,0.6,0.233287,0.801691,0.028992,10,15
algorithm5,0.506667,0.24069,0.822296,0.021845,30,15
algorithm5,0.426667,0.131718,0.926265,0.02243,50,15
