algorithm,reward,iteration,value,time
algorithm_lsp,3,1,0.000000,0.000000
algorithm_lsp,3,2,-20.452288,0.587986
algorithm_lsp,3,3,-20.415963,0.993322
algorithm_lsp,3,4,-20.642061,1.394890
algorithm_lsp,3,5,-20.060283,1.843467
algorithm_lsp,3,6,-20.019554,2.242891
algorithm_lsp,3,7,-19.938280,2.637019
algorithm_lsp,3,8,-19.124023,3.044189
algorithm_lsp,3,9,-19.042885,3.440957
algorithm_lsp,3,10,-19.086511,3.842240
algorithm_lsp,3,11,-20.398306,4.233028
algorithm_lsp,3,12,-20.375133,4.637549
algorithm_lsp,3,13,-20.305552,5.040215
algorithm_lsp,3,14,-20.350576,5.436437
algorithm_lsp,3,15,-20.347598,5.836986
algorithm_lsp,3,16,-20.318052,6.246487
algorithm_lsp,3,17,-19.113139,6.674213
algorithm_lsp,3,18,-19.205835,7.079107
algorithm_lsp,3,19,-19.222992,7.476054
algorithm_lsp,3,20,-18.860706,7.873912
algorithm_lsp,3,21,-18.821185,8.283294
algorithm_lsp,3,22,-18.866805,8.688657
algorithm_lsp,3,23,-18.652007,9.094076
algorithm_lsp,3,24,-18.556996,9.496295
algorithm_lsp,3,25,-18.457224,9.895274
algorithm_lsp,3,26,-19.692171,10.289024
algorithm_lsp,3,27,-19.886263,10.693721
algorithm_lsp,3,28,-19.862009,11.092904
algorithm_lsp,3,29,-20.064958,11.500112
algorithm_lsp,3,30,-20.032209,11.891850
algorithm_lsp,3,31,-20.056993,12.292389
algorithm_ksp,3,1,0.000000,0.000000
algorithm_ksp,3,2,-19.370939,7.870878
algorithm_ksp,3,3,-19.828836,15.649257
algorithm_ksp,3,4,-19.867052,23.456011
algorithm_ksp,3,5,-19.835428,31.262804
algorithm_ksp,3,6,-19.836446,39.078839
algorithm_ksp,3,7,-19.875317,46.899173
algorithm_ksp,3,8,-19.798215,54.690763
algorithm_ksp,3,9,-19.927972,62.435423
algorithm_ksp,3,10,-19.841317,70.288447
algorithm_ksp,3,11,-19.777093,78.117438
algorithm_ksp,3,12,-19.878777,85.869704
algorithm_ksp,3,13,-19.923739,93.761110
algorithm_ksp,3,14,-19.858040,101.562417
algorithm_ksp,3,15,-19.880953,109.370816
algorithm_ksp,3,16,-19.890513,117.229266
algorithm_ksp,3,17,-19.862772,125.069954
algorithm_ksp,3,18,-19.851407,132.836373
algorithm_ksp,3,19,-19.873432,140.667906
algorithm_ksp,3,20,-19.803960,148.384071
algorithm_ksp,3,21,-19.869615,156.132995
algorithm_ksp,3,22,-19.829638,163.853716
algorithm_ksp,3,23,-19.806736,171.701078
algorithm_ksp,3,24,-19.872959,179.544477
algorithm_ksp,3,25,-19.830533,187.298520
algorithm_ksp,3,26,-19.902168,195.204143
algorithm_ksp,3,27,-19.839339,203.058200
algorithm_ksp,3,28,-19.885144,210.757459
algorithm_ksp,3,29,-19.836591,218.554624
algorithm_ksp,3,30,-19.901281,226.298761
algorithm_ksp,3,31,-19.837189,234.162788
algorithm_13k,4,1,0.000000,0.000000
algorithm_13k,4,2,3.209621,0.454817
algorithm_13k,4,3,3.209621,0.891507
algorithm_13k,4,4,3.211068,1.185543
algorithm_13k,4,5,3.215170,1.447923
algorithm_13k,4,6,3.209621,1.765267
algorithm_13k,4,7,3.210974,2.040406
algorithm_13k,4,8,3.208035,2.326796
algorithm_13k,4,9,3.209621,2.622041
algorithm_13k,4,10,3.209621,2.900241
algorithm_13k,4,11,3.213463,3.186026
algorithm_13k,4,12,3.213855,3.454648
algorithm_13k,4,13,3.213840,3.721795
algorithm_13k,4,14,3.209621,4.015629
algorithm_13k,4,15,3.212874,4.332295
algorithm_13k,4,16,3.209819,4.624748
algorithm_13k,4,17,3.208371,4.917306
algorithm_13k,4,18,3.209621,5.210353
algorithm_13k,4,19,3.211689,5.497928
algorithm_13k,4,20,3.211068,5.786405
algorithm_13k,4,21,3.209621,6.067851
algorithm_13k,4,22,3.209621,6.405164
algorithm_13k,4,23,3.208867,6.753939
algorithm_13k,4,24,3.206566,7.026358
algorithm_13k,4,25,3.209621,7.292498
algorithm_13k,4,26,3.212676,7.608940
algorithm_13k,4,27,3.204096,7.901934
algorithm_13k,4,28,3.209621,8.178587
algorithm_13k,4,29,3.212458,8.454159
algorithm_13k,4,30,3.207784,8.728874
algorithm_13k,4,31,3.211656,9.032460
algorithm_lsp,4,1,0.000000,0.000000
algorithm_lsp,4,2,3.121515,0.588225
algorithm_lsp,4,3,3.120699,1.012240
algorithm_lsp,4,4,3.107118,1.512756
algorithm_lsp,4,5,4.336125,1.912202
algorithm_lsp,4,6,4.325713,2.308561
algorithm_lsp,4,7,4.350419,2.709641
algorithm_lsp,4,8,3.497800,3.113260
algorithm_lsp,4,9,3.518110,3.510491
algorithm_lsp,4,10,3.485365,3.910000
algorithm_lsp,4,11,3.327560,4.315668
algorithm_lsp,4,12,3.353166,4.718501
algorithm_lsp,4,13,3.416274,5.116001
algorithm_lsp,4,14,3.601337,5.522192
algorithm_lsp,4,15,3.536874,5.917163
algorithm_lsp,4,16,3.599332,6.314412
algorithm_lsp,4,17,3.667692,6.709753
algorithm_lsp,4,18,3.657754,7.117686
algorithm_lsp,4,19,3.637889,7.517230
algorithm_lsp,4,20,3.219479,7.916215
algorithm_lsp,4,21,3.219285,8.316835
algorithm_lsp,4,22,3.221354,8.705688
algorithm_lsp,4,23,2.702805,9.106325
algorithm_lsp,4,24,2.633381,9.506268
algorithm_lsp,4,25,2.640979,9.908733
algorithm_lsp,4,26,2.632864,10.304503
algorithm_lsp,4,27,2.624190,10.703451
algorithm_lsp,4,28,2.631399,11.105023
algorithm_lsp,4,29,3.376047,11.507645
algorithm_lsp,4,30,3.325158,11.905807
algorithm_lsp,4,31,3.342447,12.312343
algorithm_ksp,4,1,0.000000,0.000000
algorithm_ksp,4,2,3.205249,9.336502
algorithm_ksp,4,3,3.185766,18.561871
algorithm_ksp,4,4,3.211906,27.615760
algorithm_ksp,4,5,3.195196,36.814137
algorithm_ksp,4,6,3.208344,45.982823
algorithm_ksp,4,7,3.045994,55.024573
algorithm_ksp,4,8,3.053054,64.064915
algorithm_ksp,4,9,3.068693,73.099959
algorithm_ksp,4,10,2.968900,82.431520
algorithm_ksp,4,11,3.190733,91.737748
algorithm_ksp,4,12,3.216676,101.005895
algorithm_ksp,4,13,3.201047,110.197177
algorithm_ksp,4,14,3.105149,119.375459
algorithm_ksp,4,15,3.251720,128.628133
algorithm_ksp,4,16,3.271896,137.897731
algorithm_ksp,4,17,3.034659,147.107741
algorithm_ksp,4,18,3.061455,156.511723
algorithm_ksp,4,19,3.058510,165.790015
algorithm_ksp,4,20,3.055263,175.065264
algorithm_ksp,4,21,3.074101,184.319246
algorithm_ksp,4,22,2.963410,193.518112
algorithm_ksp,4,23,3.202474,202.743413
algorithm_ksp,4,24,3.206910,212.003589
algorithm_ksp,4,25,3.211788,221.119559
algorithm_ksp,4,26,3.080274,230.336786
algorithm_ksp,4,27,3.254365,239.532903
algorithm_ksp,4,28,3.285934,248.735245
algorithm_ksp,4,29,3.050068,257.923813
algorithm_ksp,4,30,3.063731,267.112107
algorithm_ksp,4,31,3.058872,276.292097
algorithm_13k,5,1,0.000000,0.000000
algorithm_13k,5,2,5.649551,0.334265
algorithm_13k,5,3,7.587203,0.650358
algorithm_13k,5,4,7.041451,0.980655
algorithm_13k,5,5,7.004477,1.326743
algorithm_13k,5,6,7.133347,1.740551
algorithm_13k,5,7,7.380902,2.217514
algorithm_13k,5,8,7.228317,2.597895
algorithm_13k,5,9,7.340890,2.959101
algorithm_13k,5,10,7.581035,3.335711
algorithm_13k,5,11,7.627686,3.709172
algorithm_13k,5,12,7.689106,4.110116
algorithm_13k,5,13,7.667526,4.493446
algorithm_13k,5,14,7.846533,4.867945
algorithm_13k,5,15,7.833820,5.234665
algorithm_13k,5,16,7.669573,5.621693
algorithm_13k,5,17,7.601022,6.001557
algorithm_13k,5,18,7.724296,6.396610
algorithm_13k,5,19,7.407140,6.788477
algorithm_13k,5,20,7.425675,7.188462
algorithm_13k,5,21,7.796230,7.730269
algorithm_13k,5,22,7.829065,8.180263
algorithm_13k,5,23,7.792042,8.667620
algorithm_13k,5,24,7.828506,9.227539
algorithm_13k,5,25,7.764197,9.755315
algorithm_13k,5,26,7.875704,10.240252
algorithm_13k,5,27,7.744230,10.795574
algorithm_13k,5,28,7.865495,11.322152
algorithm_13k,5,29,7.933317,11.841623
algorithm_13k,5,30,7.838199,12.357703
algorithm_13k,5,31,7.833249,12.858942
algorithm_lsp,5,1,0.000000,0.000000
algorithm_lsp,5,2,7.585162,0.689771
algorithm_lsp,5,3,7.558520,1.094669
algorithm_lsp,5,4,7.631289,1.498400
algorithm_lsp,5,5,8.675292,1.900708
algorithm_lsp,5,6,8.689848,2.300994
algorithm_lsp,5,7,8.689951,2.702556
algorithm_lsp,5,8,8.094890,3.110128
algorithm_lsp,5,9,8.116327,3.504907
algorithm_lsp,5,10,8.096478,3.903365
algorithm_lsp,5,11,8.539697,4.292612
algorithm_lsp,5,12,8.558138,4.697082
algorithm_lsp,5,13,8.574027,5.094760
algorithm_lsp,5,14,8.594530,5.489947
algorithm_lsp,5,15,8.585770,5.892345
algorithm_lsp,5,16,8.670190,6.285286
algorithm_lsp,5,17,7.748706,6.687168
algorithm_lsp,5,18,7.734114,7.099924
algorithm_lsp,5,19,7.766574,7.500108
algorithm_lsp,5,20,8.953437,7.898971
algorithm_lsp,5,21,8.977461,8.292617
algorithm_lsp,5,22,8.901332,8.689140
algorithm_lsp,5,23,8.209844,9.080320
algorithm_lsp,5,24,8.142543,9.472482
algorithm_lsp,5,25,8.269346,9.875090
algorithm_lsp,5,26,7.831303,10.270885
algorithm_lsp,5,27,7.890476,10.667942
algorithm_lsp,5,28,7.893438,11.059861
algorithm_lsp,5,29,8.534053,11.458283
algorithm_lsp,5,30,8.503721,11.854393
algorithm_lsp,5,31,8.508572,12.252769
algorithm_ksp,5,1,0.000000,0.000000
algorithm_ksp,5,2,6.436230,8.255959
algorithm_ksp,5,3,6.443560,16.437345
algorithm_ksp,5,4,6.469566,24.543377
algorithm_ksp,5,5,6.451959,32.677347
algorithm_ksp,5,6,6.023085,40.821606
algorithm_ksp,5,7,6.466610,48.960162
algorithm_ksp,5,8,6.451239,57.084070
algorithm_ksp,5,9,6.446076,65.331175
algorithm_ksp,5,10,5.934503,73.412733
algorithm_ksp,5,11,6.451631,81.543315
algorithm_ksp,5,12,6.446179,89.670173
algorithm_ksp,5,13,6.465548,97.877156
algorithm_ksp,5,14,5.907802,105.918667
algorithm_ksp,5,15,6.442419,113.978853
algorithm_ksp,5,16,6.458370,122.083312
algorithm_ksp,5,17,6.443961,130.120892
algorithm_ksp,5,18,5.970622,138.285962
algorithm_ksp,5,19,6.435633,146.435567
algorithm_ksp,5,20,6.464150,154.572111
algorithm_ksp,5,21,6.441864,162.678105
algorithm_ksp,5,22,6.010208,170.798880
algorithm_ksp,5,23,6.446263,178.871365
algorithm_ksp,5,24,6.442826,187.022067
algorithm_ksp,5,25,6.441259,195.155077
algorithm_ksp,5,26,5.929937,203.306360
algorithm_ksp,5,27,6.441047,211.450306
algorithm_ksp,5,28,6.446452,219.554929
algorithm_ksp,5,29,6.445922,227.653420
algorithm_ksp,5,30,5.902551,235.831758
algorithm_ksp,5,31,6.441012,243.998165
algorithm_13k,6,1,0.000000,0.000000
algorithm_13k,6,2,9.977736,0.309530
algorithm_13k,6,3,9.964275,0.573876
algorithm_13k,6,4,9.986253,0.857304
algorithm_13k,6,5,9.949932,1.132247
algorithm_13k,6,6,9.970111,1.435276
