algorithm,reward,iteration,value,time
algorithm_13kx,1,99,-13.647116,72.439366
algorithm_13kx,1,100,-13.883671,73.510805
algorithm_13kx,1,101,-13.746737,74.563360
algorithm_13ks,2,1,0.000000,0.000000
algorithm_13ks,2,2,-14.488974,0.178256
algorithm_13ks,2,3,-18.517243,0.373419
algorithm_13ks,2,4,-16.007562,0.791528
algorithm_13ks,2,5,-18.033384,1.003313
algorithm_13ks,2,6,-14.504559,1.220292
algorithm_13ks,2,7,-15.335017,1.450621
algorithm_13ks,2,8,-17.407174,1.676828
algorithm_13ks,2,9,-15.657976,1.928322
algorithm_13ks,2,10,-17.518179,2.176483
algorithm_13ks,2,11,-18.549235,2.437340
algorithm_13ks,2,12,-15.510506,2.712142
algorithm_13ks,2,13,-18.316776,2.995051
algorithm_13ks,2,14,-18.230166,3.274991
algorithm_13ks,2,15,-18.002766,3.614487
algorithm_13ks,2,16,-17.591977,3.957352
algorithm_13ks,2,17,-18.569107,4.322535
algorithm_13ks,2,18,-15.777179,4.667138
algorithm_13ks,2,19,-13.155050,5.110656
algorithm_13ks,2,20,-18.416107,5.585069
algorithm_13ks,2,21,-13.870207,6.071453
algorithm_13ks,2,22,-16.783100,6.585095
algorithm_13ks,2,23,-13.168647,7.101975
algorithm_13ks,2,24,-17.413731,7.624322
algorithm_13ks,2,25,-17.447822,8.160843
algorithm_13ks,2,26,-17.948828,8.684970
algorithm_13ks,2,27,-16.065325,9.218300
algorithm_13ks,2,28,-13.351281,9.766977
algorithm_13ks,2,29,-17.842824,10.341068
algorithm_13ks,2,30,-17.072701,10.969286
algorithm_13ks,2,31,-14.686579,11.557056
algorithm_lsp,2,1,0.000000,0.000000
algorithm_lsp,2,2,-18.675592,0.486662
algorithm_lsp,2,3,-18.110343,0.745625
algorithm_lsp,2,4,-18.415874,0.985289
algorithm_lsp,2,5,-18.232065,1.225680
algorithm_lsp,2,6,-17.725526,1.466754
algorithm_lsp,2,7,-18.608869,1.707486
algorithm_lsp,2,8,-18.513178,1.965149
algorithm_lsp,2,9,-18.316755,2.209663
algorithm_lsp,2,10,-18.531236,2.451289
algorithm_lsp,2,11,-18.298426,2.687085
algorithm_lsp,2,12,-18.583101,2.930446
algorithm_lsp,2,13,-18.617860,3.173869
algorithm_lsp,2,14,-15.534324,3.429696
algorithm_lsp,2,15,-15.660560,3.675336
algorithm_lsp,2,16,-15.695651,3.918852
algorithm_lsp,2,17,-17.092258,4.158402
algorithm_lsp,2,18,-17.190551,4.399541
algorithm_lsp,2,19,-17.111294,4.640042
algorithm_lsp,2,20,-18.335101,4.880038
algorithm_lsp,2,21,-18.420991,5.127799
algorithm_lsp,2,22,-18.628764,5.370280
algorithm_lsp,2,23,-18.717631,5.615304
algorithm_lsp,2,24,-18.648614,5.859221
algorithm_lsp,2,25,-18.595411,6.104069
algorithm_lsp,2,26,-18.462582,6.343615
algorithm_lsp,2,27,-18.264446,6.582800
algorithm_lsp,2,28,-18.312312,6.820442
algorithm_lsp,2,29,-17.368287,7.112921
algorithm_lsp,2,30,-17.955180,7.358447
algorithm_lsp,2,31,-17.797405,7.594440
algorithm_ksp,2,1,0.000000,0.000000
algorithm_ksp,2,2,-18.663654,5.751733
algorithm_ksp,2,3,-18.626599,11.545459
algorithm_ksp,2,4,-18.707167,17.309641
algorithm_ksp,2,5,-17.068811,23.068855
algorithm_ksp,2,6,-18.572889,28.827210
algorithm_ksp,2,7,-18.581579,34.574557
algorithm_ksp,2,8,-18.742808,40.429235
algorithm_ksp,2,9,-18.621332,46.169249
algorithm_ksp,2,10,-18.666647,51.924708
algorithm_ksp,2,11,-18.417381,57.673343
algorithm_ksp,2,12,-18.662129,63.417070
algorithm_ksp,2,13,-18.551114,69.168172
algorithm_ksp,2,14,-18.531187,74.905687
algorithm_ksp,2,15,-18.778151,80.667340
algorithm_ksp,2,16,-18.357121,86.407654
algorithm_ksp,2,17,-18.659803,92.153996
algorithm_ksp,2,18,-18.466112,97.909653
algorithm_ksp,2,19,-18.548872,103.622783
algorithm_ksp,2,20,-18.574949,109.374126
algorithm_ksp,2,21,-18.558918,115.125911
algorithm_ksp,2,22,-18.787006,120.865049
algorithm_ksp,2,23,-18.652571,126.611066
algorithm_ksp,2,24,-18.525387,132.344118
algorithm_ksp,2,25,-18.491207,138.084691
algorithm_ksp,2,26,-18.552533,143.813014
algorithm_ksp,2,27,-18.659729,149.559848
algorithm_ksp,2,28,-18.476295,155.319732
algorithm_ksp,2,29,-18.572911,161.109454
algorithm_ksp,2,30,-18.549388,166.883763
algorithm_ksp,2,31,-18.617521,172.803255
algorithm_13kx,2,1,0.000000,0.000000
algorithm_13kx,2,2,-14.640146,0.207281
algorithm_13kx,2,3,-17.998506,0.375759
algorithm_13kx,2,4,-18.269070,0.549365
algorithm_13kx,2,5,-17.860449,0.792814
algorithm_13kx,2,6,-18.117059,1.019087
algorithm_13kx,2,7,-17.686807,1.242603
algorithm_13kx,2,8,-16.100086,1.463070
algorithm_13kx,2,9,-16.655086,1.690893
algorithm_13kx,2,10,-17.959077,1.916893
algorithm_13kx,2,11,-17.712137,2.410410
algorithm_13kx,2,12,-13.325657,2.657271
algorithm_13kx,2,13,-17.692719,2.913036
algorithm_13kx,2,14,-14.807448,3.205909
algorithm_13kx,2,15,-14.550508,3.477263
algorithm_13kx,2,16,-13.416963,3.760037
algorithm_13kx,2,17,-16.767194,4.131003
algorithm_13kx,2,18,-16.269861,4.432990
algorithm_13kx,2,19,-13.131851,4.747208
algorithm_13kx,2,20,-15.341894,5.090608
algorithm_13kx,2,21,-13.071588,5.423066
algorithm_13kx,2,22,-12.767638,5.756143
algorithm_13kx,2,23,-13.076692,6.202638
algorithm_13kx,2,24,-12.906309,6.647389
algorithm_13kx,2,25,-18.345477,7.129069
algorithm_13kx,2,26,-17.366962,7.588386
algorithm_13kx,2,27,-18.245487,8.091295
algorithm_13kx,2,28,-18.220795,8.581410
algorithm_13kx,2,29,-17.698656,9.128950
algorithm_13kx,2,30,-17.533821,9.631621
algorithm_13kx,2,31,-18.010303,10.143282
algorithm_13kx,2,32,-17.469793,10.674633
algorithm_13kx,2,33,-18.100759,11.198456
algorithm_13kx,2,34,-13.353225,11.713237
algorithm_13kx,2,35,-13.299746,12.273742
algorithm_13kx,2,36,-13.435126,12.851437
algorithm_13kx,2,37,-14.195462,13.438702
algorithm_13kx,2,38,-18.259899,14.147762
algorithm_13kx,2,39,-18.053186,14.760542
algorithm_13kx,2,40,-13.712503,15.374636
algorithm_13kx,2,41,-13.865859,16.013215
algorithm_13kx,2,42,-13.852002,16.692713
algorithm_13kx,2,43,-13.992058,17.339923
algorithm_13kx,2,44,-13.881719,17.991379
algorithm_13kx,2,45,-14.447739,18.657846
algorithm_13kx,2,46,-15.224766,19.699958
